id,Row,Column,Individual,Percent_Digested,Date,Plate,Absorbance1,Absorbance2,Abs2_1
924,H,6,403,3.249097473,42038,19,0.269,0.278,0.009
925,D,8,406,2.643171806,42038,19,0.222,0.228,0.006
926,G,8,409,18.31501832,42038,19,0.224,0.274,0.05
927,H,8,410,16.75977654,42038,19,0.15,0.18,0.03
928,A,10,P721Q,24,42038,19,0.343,0.451,0.108
929,B,10,404,6.824925816,42038,19,0.629,0.675,0.046
930,C,10,405,29.85781991,42038,19,0.149,0.212,0.063
931,D,10,406,15.45741325,42038,19,0.269,0.318,0.049
932,E,10,407,5.06993007,42038,19,0.544,0.573,0.029
933,F,10,408,18.3908046,42038,19,0.143,0.175,0.032
934,G,10,409,14.81481481,42038,19,0.369,0.433,0.064
935,H,10,410,12.72727273,42038,19,0.145,0.166,0.021
936,B,12,404,17.81512605,42038,19,0.49,0.596,0.106
937,C,12,405,4.054054054,42038,19,0.427,0.445,0.018
938,D,12,406,17.6300578,42038,19,0.286,0.347,0.061
939,E,12,407,5.374823197,42038,19,0.67,0.708,0.038
940,F,12,408,14.453125,42038,19,0.22,0.257,0.037
941,G,12,409,25.37878788,42038,19,0.198,0.265,0.067
942,H,12,410,24.41314554,42038,19,0.162,0.214,0.052
943,B,2,412,19.29824561,42038,20,0.184,0.228,0.044
944,C,2,413,27.05570292,42038,20,0.275,0.377,0.102
945,D,2,414,21.25,42038,20,0.126,0.16,0.034
946,E,2,415,17.98941799,42038,20,0.155,0.189,0.034
947,H,2,418,25.64935065,42038,20,0.229,0.308,0.079
948,A,4,411,7.368421053,42038,20,0.704,0.76,0.056
949,B,4,412,5.741626794,42038,20,0.197,0.209,0.012
950,C,4,413,9.659090909,42038,20,0.318,0.352,0.034
951,E,4,415,8.333333333,42038,20,0.154,0.168,0.014
952,G,4,417,9.510869565,42038,20,0.333,0.368,0.035
953,H,4,418,16.55629139,42038,20,0.252,0.302,0.05
954,A,6,411,14.30575035,42038,20,0.611,0.713,0.102
955,C,6,413,10.88709677,42038,20,0.221,0.248,0.027
956,D,6,414,12.04188482,42038,20,0.168,0.191,0.023
957,E,6,415,24.87046632,42038,20,0.145,0.193,0.048
958,F,6,416,4.452690167,42038,20,0.515,0.539,0.024
959,H,6,418,13.41463415,42038,20,0.284,0.328,0.044
960,C,8,420,15.23341523,42038,20,0.345,0.407,0.062
961,E,8,422,6.18556701,42038,20,0.637,0.679,0.042
962,F,8,423,5.825242718,42038,20,0.291,0.309,0.018
963,G,8,424,11.4973262,42038,20,0.331,0.374,0.043
964,H,8,425,24.39862543,42038,20,0.22,0.291,0.071
965,A,10,P721Q,10.10273973,42038,20,0.525,0.584,0.059
966,D,10,421,5.641748942,42038,20,0.669,0.709,0.04
967,F,10,423,33.96226415,42038,20,0.245,0.371,0.126
968,G,10,424,15.22248244,42038,20,0.362,0.427,0.065
969,H,10,425,25.95870206,42038,20,0.251,0.339,0.088
970,E,12,422,6.581986143,42038,20,0.809,0.866,0.057
971,H,12,425,22.48322148,42038,20,0.231,0.298,0.067
972,A,2,426,2.130898021,42040,21,0.965,0.986,0.021
973,B,2,427,11.77976953,42040,21,0.345,0.391,0.046
974,C,2,428,10.93394077,42040,21,0.587,0.659,0.072
975,D,2,429,26.12163509,42040,21,0.371,0.502,0.131
976,F,2,431,6.142728094,42040,21,0.52,0.554,0.034
977,G,2,432,19.56271577,42040,21,0.35,0.435,0.085
978,H,2,433,14.93299298,42040,21,0.667,0.784,0.117
979,A,4,426,15.22491349,42040,21,0.613,0.723,0.11
980,B,4,427,11.34401973,42040,21,0.36,0.406,0.046
981,D,4,429,17.23136496,42040,21,0.428,0.517,0.089
982,E,4,430,4.647302905,42040,21,0.575,0.603,0.028
983,F,4,431,7.955449483,42040,21,0.579,0.629,0.05
984,G,4,432,13.24921136,42040,21,0.413,0.476,0.063
985,H,4,433,7.346421786,42040,21,0.732,0.79,0.058
986,A,6,426,16.95382495,42040,21,0.603,0.726,0.123
987,B,6,427,21.35642136,42040,21,0.273,0.347,0.074
988,C,6,428,8.529598982,42040,21,0.719,0.786,0.067
989,D,6,429,20.89552239,42040,21,0.398,0.503,0.105
990,G,6,432,3.222341568,42040,21,0.451,0.466,0.015
991,H,6,433,10.35226456,42040,21,0.624,0.696,0.072
992,A,8,Tx623,10.62355658,42040,21,0.581,0.65,0.069
993,B,8,434,4.02788536,42040,21,0.62,0.646,0.026
994,C,8,435,23.52941176,42040,21,0.306,0.4,0.094
995,D,8,436,13.90498262,42040,21,0.372,0.432,0.06
996,E,8,437,9.206660137,42040,21,0.464,0.511,0.047
997,F,8,438,17.69499418,42040,21,0.354,0.43,0.076
998,G,8,439,15.01501502,42040,21,0.425,0.5,0.075
999,H,8,440,41.45985401,42040,21,0.201,0.343,0.142
1000,A,10,P721Q,26.96783025,42040,21,0.534,0.731,0.197
1001,B,10,434,11.16981132,42040,21,0.589,0.663,0.074
1002,C,10,435,23.00405954,42040,21,0.285,0.37,0.085
1003,D,10,436,22.64150943,42040,21,0.308,0.398,0.09
1004,E,10,437,9.163636364,42040,21,0.625,0.688,0.063
1005,F,10,438,9.130816506,42040,21,0.518,0.57,0.052
1006,G,10,439,11.94805195,42040,21,0.509,0.578,0.069
1007,H,10,440,28.14070352,42040,21,0.215,0.299,0.084
1008,C,12,435,26.9744836,42040,21,0.301,0.412,0.111
1009,D,12,436,15.90643275,42040,21,0.36,0.428,0.068
1010,E,12,437,26.68004012,42040,21,0.366,0.499,0.133
1011,F,12,438,26.55699177,42040,21,0.313,0.426,0.113
1012,G,12,439,13.5501355,42040,21,0.479,0.554,0.075
1013,H,12,440,21.58273381,42040,21,0.273,0.348,0.075
1014,A,2,441,1.198630137,42040,22,0.584,0.591,0.007
1015,B,2,442,22.82608696,42040,22,0.362,0.467,0.105
1016,C,2,443,14.12429379,42040,22,0.463,0.538,0.075
1017,E,2,445,23.01980198,42040,22,0.318,0.411,0.093
1018,F,2,446,17.97884841,42040,22,0.705,0.858,0.153
1019,G,2,447,8.060747664,42040,22,0.794,0.863,0.069
1020,H,2,448,16.21621622,42040,22,0.503,0.599,0.096
1021,A,4,441,17.25239617,42040,22,0.525,0.633,0.108
1022,B,4,442,24.30939227,42040,22,0.281,0.369,0.088
1023,C,4,443,22.30215827,42040,22,0.439,0.563,0.124
1024,E,4,445,17.57105943,42040,22,0.326,0.394,0.068
1025,G,4,447,1.982651797,42040,22,0.798,0.814,0.016
1026,H,4,448,15.26946108,42040,22,0.573,0.675,0.102
1027,A,6,441,17.38544474,42040,22,0.62,0.749,0.129
1028,B,6,442,31.65137615,42040,22,0.305,0.443,0.138
1029,C,6,443,12.9471891,42040,22,0.518,0.594,0.076
1030,E,6,445,19.9143469,42040,22,0.381,0.474,0.093
1031,F,6,446,8.060453401,42040,22,0.737,0.801,0.064
1032,G,6,447,4.190260476,42040,22,0.853,0.89,0.037
1033,H,6,448,5.614973262,42040,22,0.713,0.755,0.042
1034,A,8,Tx623,6.68202765,42040,22,0.817,0.875,0.058
1035,B,8,449,10.6741573,42040,22,0.643,0.719,0.076
1036,C,8,450,6.666666667,42040,22,0.525,0.562,0.037
1037,D,8,451,35.82089552,42040,22,0.222,0.342,0.12
1038,E,8,452,12.7016129,42040,22,0.44,0.503,0.063
1039,F,8,453,2.325581395,42040,22,0.721,0.738,0.017
1040,G,8,454,17.35015773,42040,22,0.531,0.641,0.11
1041,H,8,455,5.182341651,42040,22,0.501,0.528,0.027
1042,A,10,P721Q,35.9223301,42040,22,0.337,0.522,0.185
1043,B,10,449,2.151898734,42040,22,0.78,0.797,0.017
1044,C,10,450,7.28929385,42040,22,0.414,0.446,0.032
1045,D,10,451,25.63106796,42040,22,0.39,0.522,0.132
1046,E,10,452,9.615384615,42040,22,0.477,0.527,0.05
1047,F,10,453,1.614906832,42040,22,0.799,0.812,0.013
1048,G,10,454,12.81094527,42040,22,0.708,0.811,0.103
1049,B,12,449,10.55718475,42040,22,0.617,0.689,0.072
1050,C,12,450,6.315789474,42040,22,0.452,0.482,0.03
1051,D,12,451,27.88259958,42040,22,0.351,0.484,0.133
1052,E,12,452,12.91291291,42040,22,0.297,0.34,0.043
1053,F,12,453,8.606060606,42040,22,0.761,0.832,0.071
1054,G,12,454,3.391959799,42040,22,0.776,0.803,0.027
1055,A,2,456,17.34778982,42041,23,0.496,0.6,0.104
1056,B,2,457,19.38851603,42041,23,0.541,0.671,0.13
1057,C,2,458,12.72621133,42041,23,0.748,0.857,0.109
1058,D,2,459,31.98959688,42041,23,0.262,0.385,0.123
1059,E,2,460,23.61005331,42041,23,0.502,0.657,0.155
1060,F,2,461,8.041355543,42041,23,0.801,0.871,0.07
1061,G,2,462,8.679593721,42041,23,0.495,0.542,0.047
1062,A,4,456,19.64157706,42041,23,0.561,0.698,0.137
1063,B,4,457,24.6618934,42041,23,0.474,0.629,0.155
1064,C,4,458,12.74951706,42041,23,0.678,0.777,0.099
1065,D,4,459,28.36879433,42041,23,0.354,0.494,0.14
1066,E,4,460,21.36945071,42041,23,0.523,0.665,0.142
1067,F,4,461,10.5605199,42041,23,0.551,0.616,0.065
1068,G,4,462,19.90521327,42041,23,0.423,0.528,0.105
1069,H,4,463,5.885190545,42041,23,0.976,1.037,0.061
1070,A,6,456,12.20597584,42041,23,0.691,0.787,0.096
1071,B,6,457,19.45883708,42041,23,0.7,0.869,0.169
1072,C,6,458,9.114183308,42041,23,0.888,0.977,0.089
1073,D,6,459,25.68161829,42041,23,0.423,0.569,0.146
1074,E,6,460,25.79688658,42041,23,0.501,0.675,0.174
1075,F,6,461,15.36735838,42041,23,0.755,0.892,0.137
1076,G,6,462,20.80624187,42041,23,0.305,0.385,0.08
1077,H,6,463,10.49414162,42041,23,0.879,0.982,0.103
1078,A,8,Tx623,14.3308746,42041,23,0.407,0.475,0.068
1079,C,8,465,17.00526712,42041,23,0.552,0.665,0.113
1080,D,8,466,24.28115016,42041,23,0.593,0.783,0.19
1081,E,8,467,1.440144014,42041,23,0.548,0.556,0.008
1082,F,8,468,29.23766816,42041,23,0.395,0.558,0.163
1083,G,8,469,27.19406675,42041,23,0.295,0.405,0.11
1084,H,8,470,33.99734396,42041,23,0.249,0.377,0.128
1085,A,10,P721Q,39.26754832,42041,23,0.299,0.492,0.193
1086,B,10,464,17.67955801,42041,23,0.671,0.815,0.144
1087,C,10,465,15.13445904,42041,23,0.679,0.8,0.121
1088,D,10,466,11.74619822,42041,23,0.842,0.954,0.112
1089,E,10,467,12.20387653,42041,23,0.612,0.697,0.085
1090,F,10,468,17.94706262,42041,23,0.636,0.775,0.139
1091,G,10,469,34.25814234,42041,23,0.273,0.415,0.142
1092,H,10,470,31.2573443,42041,23,0.293,0.426,0.133
1093,B,12,464,14.79413817,42041,23,0.611,0.717,0.106
1094,C,12,465,20.80848244,42041,23,0.598,0.755,0.157
1095,D,12,466,8.527572484,42041,23,0.805,0.88,0.075
1096,E,12,467,9.993155373,42041,23,0.658,0.731,0.073
1097,F,12,468,4.42687747,42041,23,0.605,0.633,0.028
1098,G,12,469,32.05791107,42041,23,0.329,0.484,0.155
1099,H,12,470,31.3253012,42041,23,0.257,0.374,0.117
1100,A,2,471,25.38787024,42041,24,0.529,0.709,0.18
1101,B,2,472,26.90647482,42041,24,0.508,0.695,0.187
1102,C,2,473,8.898305085,42041,24,0.86,0.944,0.084
1103,D,2,474,13.20754717,42041,24,0.736,0.848,0.112
1104,E,2,475,18.5852982,42041,24,0.587,0.721,0.134
1105,F,2,476,39.21568627,42041,24,0.341,0.561,0.22
1106,G,2,477,11.63434903,42041,24,0.957,1.083,0.126
1107,H,2,478,18.62567812,42041,24,0.45,0.553,0.103
1108,A,4,471,23.36,42041,24,0.479,0.625,0.146
1109,B,4,472,23.08943089,42041,24,0.473,0.615,0.142
1110,C,4,473,7.312252964,42041,24,0.938,1.012,0.074
1111,D,4,474,14.90825688,42041,24,0.742,0.872,0.13
1112,E,4,475,9.592326139,42041,24,0.754,0.834,0.08
1113,F,4,476,24.40801457,42041,24,0.415,0.549,0.134
1114,G,4,477,12.0285423,42041,24,0.863,0.981,0.118
1115,H,4,478,19.27899687,42041,24,0.515,0.638,0.123
1116,A,6,471,19.37602627,42041,24,0.491,0.609,0.118
1117,B,6,472,21.63636364,42041,24,0.431,0.55,0.119
1118,C,6,473,6.938325991,42041,24,0.845,0.908,0.063
1119,D,6,474,16.37519873,42041,24,0.526,0.629,0.103
1120,E,6,475,0.683760684,42041,24,0.581,0.585,0.004
1121,F,6,476,19.9255121,42041,24,0.43,0.537,0.107
1122,G,6,477,11.65311653,42041,24,0.652,0.738,0.086
1123,H,6,478,15.14522822,42041,24,0.409,0.482,0.073
1124,A,8,Tx623,17.75147929,42041,24,0.417,0.507,0.09
1125,B,8,479,18.85856079,42041,24,0.327,0.403,0.076
1126,C,8,480,15.83434836,42041,24,0.691,0.821,0.13
1127,D,8,481,26.953125,42041,24,0.374,0.512,0.138
1128,E,8,482,15.89041096,42041,24,0.614,0.73,0.116
1129,F,8,483,33.02107728,42041,24,0.286,0.427,0.141
1130,G,8,484,19.60227273,42041,24,0.566,0.704,0.138
1131,H,8,485,21.62162162,42041,24,0.522,0.666,0.144
1132,A,10,P721Q,30.36437247,42041,24,0.344,0.494,0.15
1133,B,10,479,20.44088176,42041,24,0.397,0.499,0.102
1134,C,10,480,18.4180791,42041,24,0.722,0.885,0.163
1135,D,10,481,22.56410256,42041,24,0.302,0.39,0.088
1136,E,10,482,14.02266289,42041,24,0.607,0.706,0.099
1137,F,10,483,27.68878719,42041,24,0.316,0.437,0.121
1138,G,10,484,13.2176235,42041,24,0.65,0.749,0.099
1139,H,10,485,44.30379747,42041,24,0.484,0.869,0.385
1140,B,12,479,24.03846154,42041,24,0.316,0.416,0.1
1141,C,12,480,3.780964798,42041,24,0.738,0.767,0.029
1142,D,12,481,23.1884058,42041,24,0.318,0.414,0.096
1143,E,12,482,15.96638655,42041,24,0.5,0.595,0.095
1144,F,12,483,25,42041,24,0.276,0.368,0.092
1145,G,12,484,17.04347826,42041,24,0.477,0.575,0.098
1146,H,12,485,18.45238095,42041,24,0.548,0.672,0.124
1147,A,2,486,16.58653846,42044,25,0.347,0.416,0.069
1148,B,2,487,10.10575793,42044,25,0.765,0.851,0.086
1149,C,2,488,28.64963504,42044,25,0.391,0.548,0.157
1150,D,2,489,29.73523422,42044,25,0.345,0.491,0.146
1151,E,2,490,9.971910112,42044,25,0.641,0.712,0.071
1152,F,2,491,13.02211302,42044,25,0.354,0.407,0.053
1153,G,2,492,15.51724138,42044,25,0.539,0.638,0.099
1154,H,2,493,17.16981132,42044,25,0.439,0.53,0.091
1155,A,4,486,14.0655106,42044,25,0.446,0.519,0.073
1156,B,4,487,8.083140878,42044,25,0.796,0.866,0.07
1157,C,4,488,23.20819113,42044,25,0.45,0.586,0.136
1158,D,4,489,23.80952381,42044,25,0.304,0.399,0.095
1159,F,4,491,15.0974026,42044,25,0.523,0.616,0.093
1160,H,4,493,14.23076923,42044,25,0.446,0.52,0.074
1161,A,6,486,15.20912548,42044,25,0.446,0.526,0.08
1162,B,6,487,8.951707892,42044,25,0.773,0.849,0.076
1163,C,6,488,25.19936204,42044,25,0.469,0.627,0.158
1164,D,6,489,27.69230769,42044,25,0.329,0.455,0.126
1165,E,6,490,5.428226779,42044,25,0.784,0.829,0.045
1166,F,6,491,21.22538293,42044,25,0.36,0.457,0.097
1167,G,6,492,13.03703704,42044,25,0.587,0.675,0.088
1168,H,6,493,16.05995717,42044,25,0.392,0.467,0.075
1169,A,8,Tx623,9.213051823,42044,25,0.473,0.521,0.048
1170,B,8,494,15.85714286,42044,25,0.589,0.7,0.111
1171,C,8,495,9.276437848,42044,25,0.489,0.539,0.05
1172,D,8,496,5.623100304,42044,25,0.621,0.658,0.037
1173,E,8,497,25.97938144,42044,25,0.359,0.485,0.126
1174,G,8,499,4.25170068,42044,25,0.563,0.588,0.025
1175,A,10,P721Q,35.2,42044,25,0.243,0.375,0.132
1176,B,10,494,13.13432836,42044,25,0.582,0.67,0.088
1177,C,10,495,14.38016529,42044,25,0.518,0.605,0.087
1178,D,10,496,32.27848101,42044,25,0.321,0.474,0.153
1179,E,10,497,22.25859247,42044,25,0.475,0.611,0.136
1180,F,10,498,4.504504505,42044,25,0.742,0.777,0.035
1181,G,10,499,16.20626151,42044,25,0.455,0.543,0.088
1182,H,10,500,10.91954023,42044,25,0.465,0.522,0.057
1183,B,12,494,15.25423729,42044,25,0.75,0.885,0.135
1184,C,12,495,21.67182663,42044,25,0.506,0.646,0.14
1185,D,12,496,24.59259259,42044,25,0.509,0.675,0.166
1186,E,12,497,30.96085409,42044,25,0.388,0.562,0.174
1187,F,12,498,10.32412965,42044,25,0.747,0.833,0.086
1188,G,12,499,20.83333333,42044,25,0.437,0.552,0.115
1189,H,12,500,9.516380655,42044,25,0.58,0.641,0.061
1190,A,2,501,8.902691511,42044,26,0.88,0.966,0.086
1191,B,2,502,27.75590551,42044,26,0.367,0.508,0.141
1192,C,2,503,10.60606061,42044,26,0.767,0.858,0.091
1193,D,2,504,9.696969697,42044,26,0.596,0.66,0.064
1194,E,2,505,9.953161593,42044,26,0.769,0.854,0.085
1195,F,2,506,12.1602289,42044,26,0.614,0.699,0.085
1196,G,2,507,17.20779221,42044,26,0.51,0.616,0.106
1197,H,2,508,13.67127496,42044,26,0.562,0.651,0.089
1198,A,4,501,7.738095238,42044,26,0.93,1.008,0.078
1199,B,4,502,25.22727273,42044,26,0.329,0.44,0.111
1200,C,4,503,7.751091703,42044,26,0.845,0.916,0.071
1201,D,4,504,9.546165884,42044,26,0.578,0.639,0.061
1202,E,4,505,5.952380952,42044,26,0.711,0.756,0.045
1203,F,4,506,13.65517241,42044,26,0.626,0.725,0.099
1204,G,4,507,14.25287356,42044,26,0.373,0.435,0.062
1205,H,4,508,12.75773196,42044,26,0.677,0.776,0.099
1206,A,6,501,10.33138402,42044,26,0.92,1.026,0.106
1207,B,6,502,27.95698925,42044,26,0.402,0.558,0.156
1208,C,6,503,4.079497908,42044,26,0.917,0.956,0.039
1209,D,6,504,12.4535316,42044,26,0.471,0.538,0.067
1210,E,6,505,13.43963554,42044,26,0.76,0.878,0.118
1211,F,6,506,11.08144192,42044,26,0.666,0.749,0.083
1212,G,6,507,21.06481481,42044,26,0.341,0.432,0.091
1213,H,6,508,9.766763848,42044,26,0.619,0.686,0.067
1214,A,8,Tx623,69.67213115,42044,26,0.185,0.61,0.425
1215,B,8,509,13.80042463,42044,26,0.406,0.471,0.065
1216,C,8,510,7.625272331,42044,26,0.848,0.918,0.07
1217,D,8,511,1.668984701,42044,26,0.707,0.719,0.012
1218,E,8,512,3.537414966,42044,26,0.709,0.735,0.026
1219,F,8,513,7.681564246,42044,26,0.661,0.716,0.055
1220,G,8,514,7.848101266,42044,26,0.728,0.79,0.062
1221,H,8,515,4.496124031,42044,26,0.616,0.645,0.029
1222,A,10,P721Q,27.80847145,42044,26,0.392,0.543,0.151
1223,B,10,509,14.11042945,42044,26,0.42,0.489,0.069
1224,C,10,510,0.417972832,42044,26,0.953,0.957,0.004
1225,E,10,512,2.291105121,42044,26,0.725,0.742,0.017
1226,F,10,513,1.692524683,42044,26,0.697,0.709,0.012
1227,G,10,514,14.44759207,42044,26,0.604,0.706,0.102
1228,H,10,515,9.638554217,42044,26,0.6,0.664,0.064
1229,B,12,509,18.70860927,42044,26,0.491,0.604,0.113
1230,C,12,510,5.472636816,42044,26,0.95,1.005,0.055
1231,D,12,511,2.392344498,42044,26,0.816,0.836,0.02
1232,E,12,512,13.29879102,42044,26,0.502,0.579,0.077
1233,F,12,513,11.8705036,42044,26,0.49,0.556,0.066
1234,G,12,514,19.12479741,42044,26,0.499,0.617,0.118
1235,H,12,515,18.62615588,42044,26,0.616,0.757,0.141
1236,A,2,516,11.8582791,42045,27,0.61,0.692,0.082
1237,B,2,517,1.793721973,42045,27,0.548,0.558,0.01
1238,C,2,518,2.93255132,42045,27,0.828,0.853,0.025
1239,D,2,519,6.872852234,42045,27,0.678,0.728,0.05
1240,E,2,520,30.82926829,42045,27,0.355,0.513,0.158
1241,F,2,521,6.874328679,42045,27,0.434,0.466,0.032
1242,G,2,522,16.44815256,42045,27,0.351,0.42,0.069
1243,H,2,523,36.889332,42045,27,0.317,0.502,0.185
1244,A,4,516,14.17848207,42045,27,0.515,0.6,0.085
1245,B,4,517,1.777777778,42045,27,0.553,0.563,0.01
1246,C,4,518,5.350028458,42045,27,0.832,0.879,0.047
1247,D,4,519,8.553016989,42045,27,0.781,0.854,0.073
1248,E,4,520,20.82912032,42045,27,0.392,0.495,0.103
1249,F,4,521,4.376784015,42045,27,0.503,0.526,0.023
1250,G,4,522,9.936766034,42045,27,0.499,0.554,0.055
1251,H,4,523,17.98631476,42045,27,0.42,0.512,0.092
1252,A,6,516,8.128704488,42045,27,0.543,0.591,0.048
1253,B,6,517,9.049773756,42045,27,0.503,0.553,0.05
1254,C,6,518,3.362318841,42045,27,0.834,0.863,0.029
1255,D,6,519,14.14677277,42045,27,0.486,0.566,0.08
1256,E,6,520,18.50048685,42045,27,0.419,0.514,0.095
1257,F,6,521,0.436205016,42045,27,0.457,0.459,0.002
1258,G,6,522,5.53709856,42045,27,0.427,0.452,0.025
1259,H,6,523,18.52237253,42045,27,0.392,0.481,0.089
1260,A,8,Tx623,12.04410517,42045,27,0.519,0.59,0.071
1261,B,8,524,4.440649018,42045,27,0.56,0.586,0.026
1262,C,8,525,22.90351668,42045,27,0.428,0.555,0.127
1263,D,8,526,9.693513899,42045,27,0.634,0.702,0.068
1264,E,8,527,2.538410154,42045,27,0.73,0.749,0.019
1265,G,8,529,8.456243854,42045,27,0.466,0.509,0.043
1266,H,8,530,8.503100089,42045,27,0.517,0.565,0.048
1267,A,10,P721Q,32.83283283,42045,27,0.336,0.5,0.164
1268,B,10,524,11.64750958,42045,27,0.577,0.653,0.076
1269,C,10,525,20.16057092,42045,27,0.448,0.561,0.113
1270,D,10,526,8.621815807,42045,27,0.7,0.766,0.066
1271,B,12,524,9.44595822,42045,27,0.499,0.551,0.052
1272,C,12,525,31.63596966,42045,27,0.316,0.462,0.146
1273,D,12,526,9.918392969,42045,27,0.718,0.797,0.079
1274,E,12,527,6.936416185,42045,27,0.725,0.779,0.054
1275,F,12,528,11.85770751,42045,27,0.558,0.633,0.075
1276,G,12,529,10.60070671,42045,27,0.38,0.425,0.045
1277,H,12,530,10.79083518,42045,27,0.604,0.677,0.073
1278,A,2,531,4.80081716,42045,28,0.933,0.98,0.047
1279,C,2,533,16.56920078,42045,28,0.429,0.514,0.085
1280,D,2,534,5.751173709,42045,28,0.804,0.853,0.049
1281,F,2,536,10.65162907,42045,28,0.714,0.799,0.085
1282,G,2,537,10.18131102,42045,28,0.645,0.718,0.073
1283,H,2,538,0.250626566,42045,28,0.399,0.4,0.001
1284,A,4,531,5.362462761,42045,28,0.954,1.008,0.054
1285,C,4,533,9.492635025,42045,28,0.554,0.612,0.058
1286,D,4,534,7.542857143,42045,28,0.81,0.876,0.066
1287,E,4,535,4.570383912,42045,28,0.523,0.548,0.025
1288,F,4,536,18.4375,42045,28,0.784,0.961,0.177
1289,G,4,537,1.693002257,42045,28,0.872,0.887,0.015
1290,A,6,531,7.43618202,42045,28,0.835,0.902,0.067
1291,B,6,532,6.801909308,42045,28,0.782,0.839,0.057
1292,C,6,533,15.72438163,42045,28,0.478,0.567,0.089
1293,F,6,536,6.926829268,42045,28,0.955,1.026,0.071
1294,G,6,537,3.421633554,42045,28,0.876,0.907,0.031
1295,A,8,Tx623,4.745762712,42045,28,0.563,0.591,0.028
1296,B,8,539,6.651108518,42045,28,0.801,0.858,0.057
1297,C,8,540,5.117565698,42045,28,0.687,0.724,0.037
1298,D,8,541,3.874538745,42045,28,0.522,0.543,0.021
1299,E,8,542,5.325443787,42045,28,0.641,0.677,0.036
1300,F,8,543,0.973574409,42045,28,0.713,0.72,0.007
1301,G,8,544,6.414662085,42045,28,0.818,0.874,0.056
1302,A,10,P721Q,25.04970179,42045,28,0.378,0.504,0.126
1303,B,10,539,5.246252677,42045,28,0.886,0.935,0.049
1304,C,10,540,2.118644068,42045,28,0.694,0.709,0.015
1305,D,10,541,6.525911708,42045,28,0.488,0.522,0.034
1306,E,10,542,18.40490798,42045,28,0.533,0.653,0.12
1307,G,10,544,2.005347594,42045,28,0.734,0.749,0.015
1308,H,10,545,3.990024938,42045,28,0.386,0.402,0.016
1309,B,12,539,9.318181818,42045,28,0.799,0.881,0.082
1310,D,12,541,11.63166397,42045,28,0.548,0.62,0.072
1311,E,12,542,11.72413793,42045,28,0.513,0.581,0.068
1312,F,12,543,4.457652303,42045,28,0.644,0.674,0.03
1313,G,12,544,11.38461538,42045,28,0.865,0.976,0.111
1314,A,2,546,13.06715064,42046,29,0.478,0.55,0.072
1315,B,2,547,8.465011287,42046,29,0.81,0.885,0.075
1316,C,2,548,36.51079137,42046,29,0.352,0.555,0.203
1317,D,2,549,27.91208791,42046,29,0.327,0.454,0.127
1318,E,2,550,11.53262519,42046,29,0.582,0.658,0.076
1319,F,2,551,11.65501166,42046,29,0.757,0.857,0.1
1320,G,2,552,10.14023732,42046,29,0.832,0.926,0.094
1321,H,2,553,14.80362538,42046,29,0.563,0.661,0.098
1322,A,4,546,25.30612245,42046,29,0.365,0.489,0.124
1323,B,4,547,2.757158006,42046,29,0.916,0.942,0.026
1324,C,4,548,27.5261324,42046,29,0.415,0.573,0.158
1325,D,4,549,17.8057554,42046,29,0.456,0.555,0.099
1326,E,4,550,9.803921569,42046,29,0.597,0.662,0.065
1327,F,4,551,6.009615385,42046,29,0.781,0.831,0.05
1328,G,4,552,6.696935301,42046,29,0.821,0.88,0.059
1329,H,4,553,12.75510204,42046,29,0.512,0.587,0.075
1330,A,6,546,0.283687943,42046,29,0.702,0.704,0.002
1331,C,6,548,1.278772379,42046,29,0.385,0.39,0.005
1332,D,6,549,0.243309002,42046,29,0.409,0.41,0.001
1333,G,6,552,0.116009281,42046,29,0.86,0.861,0.001
1334,H,6,553,1.268115942,42046,29,0.544,0.551,0.007
1335,A,8,Tx623,4.09556314,42046,29,0.561,0.585,0.024
1336,B,8,554,10.65989848,42046,29,0.703,0.787,0.084
1337,C,8,555,6.259541985,42046,29,0.613,0.654,0.041
1338,D,8,556,19.69439728,42046,29,0.472,0.588,0.116
1339,E,8,557,12.29116945,42046,29,0.734,0.837,0.103
1340,F,8,558,6.818181818,42046,29,0.655,0.703,0.048
1341,G,8,559,13.7755102,42046,29,0.506,0.587,0.081
1342,H,8,560,14.59293395,42046,29,0.555,0.65,0.095
1343,A,10,P721Q,36.9924812,42046,29,0.418,0.664,0.246
1344,B,10,554,13.37662338,42046,29,0.666,0.769,0.103
1345,C,10,555,12.5,42046,29,0.489,0.559,0.07
1346,D,10,556,6.017699115,42046,29,0.53,0.564,0.034
1347,E,10,557,8.305647841,42046,29,0.827,0.902,0.075
1348,F,10,558,28.22580645,42046,29,0.533,0.743,0.21
1349,G,10,559,13.371266,42046,29,0.608,0.702,0.094
1350,H,10,560,6.862745098,42046,29,0.569,0.611,0.042
1351,B,12,554,4.859813084,42046,29,0.508,0.534,0.026
1352,C,12,555,6.165703276,42046,29,0.486,0.518,0.032
1353,E,12,557,17.01492537,42046,29,0.555,0.669,0.114
1354,F,12,558,7.798165138,42046,29,0.602,0.653,0.051
1355,G,12,559,8.180300501,42046,29,0.549,0.598,0.049
1356,H,12,560,5.893909627,42046,29,0.478,0.508,0.03
1357,A,2,561,1.811125485,42046,30,0.758,0.772,0.014
1358,B,2,562,18.74180865,42046,30,0.619,0.762,0.143
1359,C,2,563,10.09708738,42046,30,0.462,0.514,0.052
1360,D,2,564,24.2,42046,30,0.378,0.499,0.121
